,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,15.501919069629873,16.08550911963739,16.079673219137316,207216.79444402925,19936072.58206163,0,23450.107927686415,0,0
1,15.964350043968889,16.207022642648152,16.182755382780226,2119144.56523313,18036683.111380417,0,221297.38791300438,0,0
2,16.190912659997444,16.26361151466264,16.2490717437296,4290337.456163047,15934169.386681434,0,418427.0146982154,0,0
3,16.353505768918115,16.330281366452198,16.33724868719197,6442782.481437114,13852645.008034583,0,610209.5103785968,0,0
4,16.466214882140697,16.34867249725818,16.395689451211187,8610906.301587202,11798998.66007226,0,819746.7335348873,0,0
5,16.592914133252556,16.418362109431886,16.505638121342223,10758790.0552163,9778571.12756284,0,985100.4497468475,0,0
6,16.72107037210098,16.50122126179361,16.633130727978035,12869088.221679958,7766308.203454738,0,1185240.644334298,0,0
7,16.85442456672406,16.587357163582432,16.77430434578157,14945676.373667851,5787723.670110884,0,1357552.4164871967,0,0
8,16.995771525719203,16.67594639981958,16.93180650053928,16998152.643150464,3820735.226670181,0,1561932.7487080158,0,0
9,17.177179256259887,16.789105868397442,17.13837191747364,19037558.580832,1881307.4096896478,0,1758278.5683205803,0,0
10,17.292957201345192,16.66090439644807,17.286636673296226,20837897.741572615,184526.09665270927,0,1937923.5116865493,0,0
