,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,26.237213642431993,25.940514608096368,25.94348159843972,2617.4794595530398,244440.4087298656,0.0,728.7479667899996,0.0,0
1,26.05957113371616,25.92786153246155,25.94103249258701,24968.06654420572,221848.08578545586,0.0,8612.747090914976,0.0,0
2,25.937494848304233,25.952389778921393,25.94941079279796,48741.55683924659,197481.37788786393,0.0,16034.042400622653,0.0,0
3,25.988346080844305,25.9740552398677,25.978342492160678,73938.66067526628,173109.8717209393,0.0,23953.988573522474,0.0,0
4,25.852904105312042,25.799728587526864,25.820998794640936,98584.3722074716,148277.6564187359,0.0,30350.364175687686,0.0,0
5,25.796238574878597,25.629090159647372,25.712664367262985,121657.65122510899,124935.29175049426,0.0,39088.624506241074,0.0,0
6,25.69477671610495,24.844721921176944,25.35475479813375,148190.57448510747,100985.01163525812,0.0,47172.585286669906,0.0,0
7,25.5155385663721,24.536541649772293,25.22183949139216,172543.20873845022,75847.88222295046,0.0,56560.3597882526,0.0,0
8,25.31459897316693,24.445583539391514,25.140795886411844,196106.67454068642,50115.79874263554,0.0,66798.44410372013,0.0,0
9,25.204234345316536,24.410133725069134,25.12482428329179,219699.32126339845,25537.96908857439,0.0,73457.57591649478,0.0,0
10,25.138474828782826,24.385134997402037,25.130941430469015,241876.9295546333,2607.9273180093874,0.0,79638.39010463747,0.0,0
