,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow
0,25.606598265103806,25.758832191311328,25.75867995738512,239.5335553290498,246433.14006944577,0,63.42807928060616,0
1,25.714299939835925,25.7905893157025,25.782960378115842,24293.833770180277,222114.28964400085,0,7355.123815410169,0
2,25.824119487058876,25.77851576407659,25.787636508673046,48675.953898854576,197301.55566784696,0,15329.169020641437,0
3,25.79376171282524,25.63067011641647,25.679597595339104,73156.01033896355,172590.061686116,0,23251.88009287106,0
4,25.72678005668617,25.491613919341003,25.58568037427907,97268.89533584847,148295.0122477513,0,30844.463387936623,0
5,25.66420730208432,25.363220064882608,25.513713683483466,121307.24518315846,123782.12838607996,0,38684.42650238006,0
6,25.623749283252117,25.312738282959558,25.499344883135095,145438.82696467263,100918.18222952592,0,48308.45151798541,0
7,25.441398759498266,24.873847163871755,25.271133280810314,170493.91887500987,76040.02617126452,0,58565.88234818185,0
8,25.30449757161702,24.543326853401876,25.15226342797399,195116.6648505856,50870.556884343234,0,67547.47535038821,0
9,25.212949024487628,24.267504670670597,25.11840458910592,219884.07325648834,25486.73158369059,0,74960.55733660627,0
10,25.145285627242796,24.058509652526226,25.14419885126808,244491.23493067332,258.90004421432616,0,83653.06480594646,0
