,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,8.370070695302797,8.866695739058134,8.86172948862058,145967.4226284559,14499493.3118115,3468.20101669471,21749.26729095928,0,0
1,8.446298805333626,8.721550890720787,8.694025682182069,1423191.1237386477,13136062.549543286,41360.73952228849,188313.55145559183,0,0
2,8.41251593334049,8.50072660403318,8.48308446989464,2839059.929259071,11638406.942587106,89700.74284077917,346736.66460177215,0,0
3,8.35547549820019,8.258159078003379,8.28735400406242,4249359.976379978,10132114.905429134,156331.2806828904,475794.56694320345,0,0
4,8.271053518250419,7.994773838512694,8.105285710407786,5633525.330339482,8628359.877253937,234989.16940961685,586114.7829195234,0,0
5,8.182845368261363,7.738963628019673,7.960904498140518,7015524.425933552,7104651.897312134,313749.5866823641,700480.6637868441,0,0
6,8.080905101730673,7.48704111847477,7.843359508428309,8377997.785682529,5627862.903999365,394263.0369356219,823054.9376819595,0,0
7,7.965277677052459,7.219103244345078,7.7414253472402415,9719869.142899953,4183168.2254626686,475838.85330742813,912878.9231741753,0,0
8,7.848233063287899,6.982666528223511,7.675119756275023,11011855.721619638,2759812.0573880477,555019.4755367433,1008735.2379522596,0,0
9,7.729320207565328,6.76187268111595,7.632575454920387,12287533.0144693,1365232.9570366645,631567.6718196697,1070721.1490906798,0,0
10,7.59721397554301,6.544681451061716,7.586688650298196,13448103.033836313,134475.83732925216,688749.0480462329,1150773.0932929318,0,0
