,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow
0,25.379911763998372,25.37991175770509,25.379911757711383,62.925921690747714,62862.99575337225,0,6.958219887762398,0
1,25.39103808276488,25.391038082653065,25.39103808266425,6292.592167527739,56633.329507509596,0,695.9751533453443,0
2,25.39484682929184,25.394846829293133,25.394846829292874,12585.184335001606,50340.737340006584,0,1542.9818347123096,0
3,25.398961778638004,25.398961778531557,25.398961778563496,18877.776502566518,44048.14517250109,0,2395.0879924029223,0
4,25.404538529975138,25.404538529897533,25.404538529928573,25170.36867004884,37755.55300500233,0,3240.9128837577723,0
5,25.41089819697743,25.410898196996612,25.410898196987024,31462.960837500108,31462.960837523682,0,4051.2949699083483,0
6,25.411555928253815,25.411555928373907,25.411555928301848,37755.55300500066,25170.36867011288,0,5125.03749915608,0
7,25.372657038941764,25.37306706635973,25.372780047167158,44048.145171326985,18877.776502500798,0,6009.142146013494,0
8,25.330044918140118,25.325222974860033,25.3290805294841,50219.145434037615,12585.184335056145,0,6832.158313680389,0
9,25.279248747427882,25.26063950727618,25.277387823412713,56333.94413606475,6292.59216760415,0,7655.173537744978,0
10,25.239062667797516,25.201350134453474,25.239024955264174,62385.98070980814,62.92592179975788,0,8553.840427707391,0
