,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,18.145078349357984,19.941363063620983,19.923400216478356,221307.2042047132,21917279.52729815,0,30488.515773258187,0,0
1,18.76407213852673,19.697822366708504,19.604447343890328,2145157.7658797503,19857155.97798647,0,234150.38261135566,0,0
2,18.90247997960372,19.524944434402418,19.400451543442678,4298257.5615374185,17566923.448510025,0,423327.98726777174,0,0
3,18.91561189125487,19.315587084442793,19.195594526486417,6424877.009252798,15282398.732027672,0,633161.9803928512,0,0
4,18.83090849920586,19.077860088750377,18.979079452932574,8567380.761964045,13037988.073084822,0,819460.565635084,0,0
5,18.70847796046642,18.821062129241575,18.764770044853996,10680859.555438964,10779053.164367205,0,1015049.3859554671,0,0
6,18.568440380982736,18.577265254789083,18.571970330505277,12741029.862440562,8589438.70816372,0,1185878.7718450637,0,0
7,18.435469553815715,18.375618988459514,18.417514384208854,14825411.578356488,6407169.69512203,0,1365898.4399116512,0,0
8,18.291511127461533,18.144901844601602,18.26218927088955,16860704.57612098,4242143.514712284,0,1564178.6695607477,0,0
9,18.141358152958965,17.87269656229487,18.114491993892557,18902043.49637239,2082462.7432576916,0,1766526.3757998645,0,0
10,17.955331524057737,17.32286541231011,17.949006862940266,20721654.898641225,203442.72600007997,0,1936133.375380868,0,0
