,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,121.34584205029037,203.71846860894877,202.89474234336234,76642.57103525726,6414360.138417025,0,6992.866856510004,0,10700.73517320104
1,137.55073445485135,186.45531376752393,181.56485583625673,656354.1478185934,5776158.338623807,0,67593.32466362811,0,99235.58767578859
2,141.99488994061647,172.9310665683576,166.7438312428094,1256931.8533973177,5104100.7523620995,0,133219.91636166963,0,197075.4745275726
3,143.84891684967067,163.53067009804175,157.62614412353042,1844749.3835062252,4438671.291463657,0,193478.74878258212,0,289138.894602566
4,146.49257405634324,157.5594242524574,153.13268417401184,2430658.158527771,3772836.198093296,0,250638.3216007137,0,371911.70012312353
5,149.12709721310108,153.43872011238767,151.28290866274435,3013441.873394014,3120337.510528709,0,302179.0879461209,0,439883.50293943594
6,153.3463056750062,151.22055990578758,152.49600736731878,3597342.337304088,2463136.822148848,0,367460.14764440194,0,500425.2240685494
7,158.82769268412193,150.0594252140235,156.19721244309238,4163750.374442707,1818498.9234244726,0,424483.5587342796,0,554945.1304677533
8,167.27481797635477,149.87251771525297,163.79435792413443,4739918.293114065,1193107.0484307604,0,479516.7586220951,0,605401.6300181297
9,175.1904259146011,148.97266382763112,172.56864970590414,5294852.0608838275,588847.2493944864,0,537492.9223634644,0,646755.4356546798
10,186.48503868894215,143.96054937187324,186.05979379577153,5779787.034865677,58539.86706417988,0,576018.8881698198,0,679906.6742496107
