,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,5.234933501871634,5.72403434476266,5.71914333633375,86525.04334838151,9291087.846233113,731.1395982400353,11685.230964393106,0,1406.904150091498
1,5.245193478705858,5.675490187915418,5.632460516994462,871272.7403576954,8418019.07659603,7748.264125185913,114347.5693594465,0,14206.412892352857
2,5.235272213597763,5.612436697885668,5.537003801028088,1749700.8243234823,7450239.460460402,15923.620312780178,221898.11556026564,0,28793.53038894145
3,5.216084801040388,5.540003130642222,5.442827631761672,2622528.2641159035,6490974.358393804,24529.06945188708,337262.8512006382,0,42853.84782402298
4,5.199850008068833,5.474440857071741,5.36460451747058,3488314.2956927177,5536029.1851058295,34424.4127784307,435007.7816823731,0,56078.909256909006
5,5.17201478011004,5.3962039082879,5.284109344198969,4359960.84803985,4587388.474961081,43934.60739468593,535869.5243498526,0,69083.51755540683
6,5.139562064197499,5.325154713375163,5.213799123868563,5216253.725216581,3645204.8002393786,53152.44800340264,635228.2094887493,0,81524.3551385081
7,5.10288706136427,5.244243337718825,5.145293944270637,6071218.5509082535,2717174.0642912695,64616.21952933351,723403.42281117,0,93415.49038844793
8,5.064082149829221,5.166118184737757,5.084489356810929,6920965.0625759885,1801714.8790565592,75696.10190485507,811381.4245244691,0,104718.8003112974
9,5.01905541881323,5.08752967503179,5.025902844435086,7748190.0925753815,897970.2606154435,84037.33908721952,923998.7349611899,0,114382.54704193442
10,4.973749769003076,5.028646852734272,4.974298739840388,8471856.027389469,89561.54742368463,90150.61644200858,1025467.2755885199,0,121325.49169813255
