,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,7.50453702799615,8.808392902636264,8.795354343889862,16993.30036844038,2058363.9796772948,65.72192131766649,5767.843347332054,382.46824799741853,1384.7978185517939
1,7.491671355202384,8.425918927861126,8.332494170595249,170529.5135667362,1852243.4867812244,671.9077741266948,57854.0314249465,5243.314199704087,13416.360054887078
2,7.376525440888035,7.990136890258109,7.867414600384094,342070.7730422811,1629361.5699222079,1429.8458925359475,102223.68361340795,13110.441979997386,25972.9747693408
3,7.25170205991899,7.602090832326203,7.496974200604037,513712.4878939836,1407223.193950123,2162.4128400220034,132021.0952337412,22803.02420354891,38449.597784258774
4,7.111586264337021,7.258027748480378,7.199451154823034,685352.8333581687,1191434.9360792194,3046.1866399410155,162982.28348845983,32120.730799990917,50779.21048809819
5,6.974093027671232,6.939276931966415,6.956684979818824,856769.2293749917,980310.2160211123,3813.071756728544,196342.73285857367,42136.92731343011,62712.78035046924
6,6.824148475273585,6.646408736860301,6.75305257990827,1027161.9302024539,775108.3282767314,4505.384476785064,215791.96331785637,51485.60493063897,72902.72850122908
7,6.682537338422917,6.3788166751216995,6.59142113943255,1196415.876051106,573875.2987930044,5025.641245970615,235494.35027375407,60827.93857186942,82626.49995273822
8,6.543404213903119,6.116087095998425,6.45794079032218,1360361.0071822817,377876.9880312552,5669.473316529488,240438.78904218096,70820.8504392891,92608.37955865436
9,6.404068655911963,5.906503227917012,6.354312113112465,1521026.573549647,186634.0219893562,6170.884409906149,258121.64067881415,78471.36611613326,101701.84032097156
10,6.277756083248324,5.7301976715330225,6.2722804991311705,1671469.3566718407,18453.371543159377,6612.435561845104,268864.15158991236,82204.77118714133,108739.57335781175
