,Net,A,V,W,type,obj,t,RG,n,g
0,NYC,3137,1351,8658,system-centric,991408602.1220524,9075.037794412994,0.010118841530661764,,
1,NYC,3137,1351,8658,user-centric,1069859996.4407393,8771.890120917997,0.06592419901400338,,
2,NYC,3137,1351,8658,CARS2-LP,1257801501.827846,55.14086198806763,,2.0,6.0
3,NYC,3137,1351,8658,CARS2-QP,1025988042.8018886,39.69671607017517,,2.0,6.0
4,NYC,3137,1351,8658,CARS3-LP,1057327861.7074902,79.8213369846344,,3.0,6.0
5,NYC,3137,1351,8658,CARS3-QP,989432314.5608016,58.91525197029114,,3.0,6.0
6,NYC,3137,1351,8658,CARS4-LP,989637156.3166301,93.09500503540039,,4.0,6.0
7,NYC,3137,1351,8658,CARS4-QP,972126048.846167,65.87804579734802,,4.0,6.0
8,NYC,3137,1351,8658,CARS5-LP,983102842.1492255,97.23436498641968,,5.0,6.0
9,NYC,3137,1351,8658,CARS5-QP,969473285.0281647,70.59648394584656,,5.0,6.0
10,NYC,3137,1351,8658,CARS6-LP,976530825.6966645,101.62697696685791,,6.0,6.0
11,NYC,3137,1351,8658,CARS6-QP,966875771.1408174,64.09508895874023,,6.0,6.0
12,NYC,3137,1351,8658,CARS7-LP,970903156.1766151,114.18412208557129,,7.0,6.0
13,NYC,3137,1351,8658,CARS7-QP,965015261.5441114,75.07915186882019,,7.0,6.0
