,Net,A,V,W,type,obj,t,RG,n,g
0,NYC,3137,1351,8658,system-centric,83388181.57022028,7620.378660538,9.769398207974466e-05,,
1,NYC,3137,1351,8658,user-centric,83673373.11896153,70.44005585999912,5.59392672701803e-07,,
2,NYC,3137,1351,8658,CARS2-LP,85370753.69698368,13.303354978561401,,2.0,1.0
3,NYC,3137,1351,8658,CARS2-QP,85103779.40261033,36.03105306625366,,2.0,1.0
4,NYC,3137,1351,8658,CARS3-LP,85370753.69698368,12.956115007400513,,3.0,1.0
5,NYC,3137,1351,8658,CARS3-QP,84240790.68370427,60.34585380554199,,3.0,1.0
6,NYC,3137,1351,8658,CARS4-LP,84318320.45381086,13.061064004898071,,4.0,1.0
7,NYC,3137,1351,8658,CARS4-QP,83525633.13148409,66.61053395271301,,4.0,1.0
8,NYC,3137,1351,8658,CARS5-LP,83576346.60030988,16.214745044708252,,5.0,1.0
9,NYC,3137,1351,8658,CARS5-QP,83407936.7996847,75.68884110450745,,5.0,1.0
10,NYC,3137,1351,8658,CARS6-LP,83533754.3046066,16.645584106445312,,6.0,1.0
11,NYC,3137,1351,8658,CARS6-QP,83399191.38012062,70.39146494865417,,6.0,1.0
12,NYC,3137,1351,8658,CARS7-LP,83480751.31454353,22.307374000549316,,7.0,1.0
13,NYC,3137,1351,8658,CARS7-QP,83391200.8413551,82.74778389930725,,7.0,1.0
