,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,8.730380361192069,8.889910519731883,8.888315218146486,149514.19124151533,14501663.857785875,0,18376.53815417317,0,0
1,8.891173869128348,8.941042790621754,8.936055898472414,1494862.319527304,13150489.242611714,0,179762.95651916735,0,0
2,8.969666730839988,8.938018326129592,8.944348007071671,3045403.2886166587,11661462.614795046,0,350229.5618857986,0,0
3,9.014724198862096,8.912412742096647,8.94310617912628,4591230.539323625,10184169.932667982,0,499500.51202919387,0,0
4,9.045888021524483,8.885223333895853,8.949489208947305,6162475.191352108,8683045.35705537,0,639522.1168339628,0,0
5,9.075812288508395,8.85862947384775,8.967220881178072,7751264.564149157,7179161.694267133,0,802126.5532754867,0,0
6,9.10764737164021,8.849148135032147,9.004247676996984,9329841.670913534,5704490.345400402,0,960117.2584484781,0,0
7,9.126116756437192,8.82824928028425,9.036756513591307,10899670.20076576,4232973.1847383315,0,1129204.334897195,0,0
8,9.12991803354098,8.807537310953819,9.065441889023546,12447825.148035862,2796903.4636871507,0,1287494.2324184706,0,0
9,9.111349166005096,8.743156917829605,9.074529941187546,13970521.554238437,1381782.2586706956,0,1441393.0544751754,0,0
10,9.073520423997941,8.642339754573463,9.069208617303698,15271857.180132253,136821.47075354005,0,1572847.2657804443,0,0
