,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow
0,5.433310654938616,5.370436163097121,5.370499037588964,13699.04400000096,13870298.506575447,-4.2627013030482885e-12,1451.411999998558,0
1,5.554689289161762,5.458997002780846,5.468566231418938,1367050.2996764695,12509949.94140405,-4.192202140984591e-13,162469.1712245802,0
2,5.595109710052836,5.517631732350739,5.533127327891158,2775890.617694932,11059323.028631704,-2.7142732506035827e-12,314124.59999441763,0
3,5.5161877674407815,5.5137277402728735,5.5144657484232456,4187857.517526923,9610338.770783246,-4.405364961712621e-13,497771.15415395296,0
4,5.469802119592666,5.4916729056881515,5.482924591249957,5628648.432496099,8183262.407208182,-9.050538096744276e-12,634593.4855139419,0
5,5.426710977416895,5.465405364585967,5.446058171001431,7105742.578112567,6770242.853479499,0.0,834895.562997287,0
6,5.380839465443553,5.385863637735818,5.382849134360458,8502388.702873206,5403637.130797457,2417.126942756959,1057058.7759569949,0
7,5.3282609500888665,5.346043759174142,5.3335957928144495,9932701.753976548,4051094.838452403,2417.1269427569523,1265748.3943834053,0
8,5.276941689107584,5.278825430915409,5.277318437469148,11317156.86866593,2706475.6452889494,3230.531085370051,1444530.754531843,0
9,5.2295755105103785,5.200346979494242,5.226652657408765,12730925.320565205,1358953.5898150776,3405.326942756977,1626560.9499069054,0
10,5.1712405141115205,5.115297032069427,5.171184570629478,14099665.158044057,13552.911000000291,2427.170942757067,1790914.503924139,0
