,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,11.073019647982075,15.786573104856744,15.739437570288002,18308.000333728476,2941493.2831966863,0,8999.22257985951,5268.162847657238,2488.1452127542775
1,10.892434562224345,13.562520098253056,13.295511544650191,189715.76819991696,2609979.2772226133,0,60205.718545028845,53313.2320447486,23341.162313314777
2,10.53679797632014,11.757177031877589,11.5131012207661,387574.420929733,2261550.641064452,0,104167.66134642997,101195.44424737588,44383.738053552705
3,10.132920286903147,10.402639152989872,10.321723493163855,593437.8696583363,1940767.4020081062,0,129979.09365423136,143269.77805146613,63065.75346997867
4,9.737550189657826,9.389955220746675,9.528993208311134,804049.5317574452,1635471.9927558424,0,161553.99600413526,180207.00519624448,79243.44130070461
5,9.36096409785872,8.598675312356228,8.979819705107474,1015136.0364365841,1338477.4047116172,0,172702.9446781374,214540.44700353628,94709.6108992326
6,9.020068368835455,7.925490538509825,8.582237236705213,1223177.2809162051,1053116.779582526,0,183149.84765125928,248724.9960059083,109418.96730762963
7,8.709627905494175,7.372289742368731,8.308426456556539,1426462.4272545124,776885.0288033091,0,194169.37831246475,279951.24110426195,124330.6445199881
8,8.428885139045649,6.923848640998613,8.127877839436243,1635027.9829535012,509622.07638551283,0,196472.78006385264,304581.06445490377,141523.320821778
9,8.167721337857321,6.5579161810170445,8.006740822173295,1848033.3912339585,250506.5690873078,0,202856.85995259296,323923.42105832865,155781.02668537354
10,7.9465587994927835,6.248827846161868,7.929581489959478,2039280.2816659915,24650.75004826415,0,208384.94137422676,338690.5047417682,164825.8400970864
