,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,23171.682125420168,23422.217429147306,23419.712076110034,122.88613778901995,11993.39574339177,0,31.12035741826841,0,0
1,23325.077057466908,23388.356465620986,23382.028524805577,1273.3967235443085,10848.122374233857,0,315.1316657054362,0,0
2,23269.08740183683,23027.549664265876,23075.85721178007,2543.983160771483,9595.599760796533,0,609.1666332247997,0,0
3,23092.907786756885,22640.090157675233,22775.93544639973,3791.285352041047,8390.981041232299,0,915.6444578252416,0,0
4,22915.754666875313,22350.44040901211,22576.566112157387,5025.325305732559,7186.362321667455,0,1237.0356681418914,0,0
5,22734.6719783161,22077.03627285218,22405.854125584145,6269.907434632743,5981.743602102674,0,1568.6867973153376,0,0
6,22565.81720810726,21864.45762451712,22285.273374671204,7508.026738951143,4774.347753241389,0,1898.6069886888936,0,0
7,22490.99536144562,21727.41184499949,22261.92030651178,8744.945718072955,3554.7527469476954,0,2220.066168873281,0,0
8,22257.76799185394,21075.079493798912,22021.230292242937,9962.352152463924,2367.207911403955,0,2532.6215782525624,0,0
9,22042.36853475236,20750.272396424385,21913.158920919566,11154.34845738822,1183.6039557018305,0,2840.0583603979994,0,0
10,21898.928541083853,20414.03505027641,21884.079606175783,12235.163536939106,118.36039556770938,0,3137.111338220737,0,0
