,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow
0,61.09733326370349,3077.1661331029563,3074.1500643031177,15.019387342562684,127866.0522474435,0.620563208573258,1.1356130496559051,84.63513992399388
1,61.02988782818694,2100.7375450198733,1896.7667793007047,1543.1815370736047,108682.07344038351,39.842811172557305,161.11706031674717,8261.347668018061
2,60.35241791580865,1276.5466865648323,1033.3078328350277,3757.843094954529,93469.83436066259,76.46960155079589,135.57813190348728,15816.978698687015
3,59.03991186853865,745.8256986487452,539.7899626146832,6541.479948252339,80434.27700937747,51.494959099324575,420.4026334004874,22937.39654362104
4,57.56576467292175,247.65480816860952,171.61919077033443,9716.886734472973,68442.0586851657,9.41206185243406,776.8036609271753,29931.690559769846
5,55.807826123606254,62.31941106487101,59.06361859423863,15487.959645859502,53525.132117497255,4.60178955580027e-06,832.9049848679649,34863.14398173351
6,52.84818415604045,48.18300929477077,50.982114211532576,23292.87994640128,40056.39048370695,7.08815296781043e-07,678.7764416036299,37988.90031249947
7,50.0848535907903,38.06034975947068,46.47750244139442,30544.673059160286,29410.5471412457,6.815217127682304e-07,591.9229717311223,40770.97950999095
8,47.527329509515724,31.80919660143474,44.38370292789953,37823.47466850191,19289.098696822493,1.9674011024006267e-06,659.4024347363356,43432.419995716526
9,45.21090832630501,27.69312851157309,43.45913034483182,45393.26251971603,9546.27652256007,2.158313780381642e-06,737.4025889327088,45755.66694319051
10,43.041616722491355,24.801583293389495,43.02337668906225,52875.8137257117,97.81181106367492,2.3006661823450416e-06,747.9251808947774,47858.13531533722
