,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,8.772892976565487,8.860970968433344,8.860090188514667,147978.72909604877,14512751.843548806,0,18183.471694701955,0,0
1,8.899211094227528,8.909240725484578,8.908237762358873,1505916.5813053867,13148177.799586672,0,182610.11365084825,0,0
2,8.96953764891563,8.92205729211214,8.931553363472839,3047672.0688594515,11649417.842201129,0,367176.545923666,0,0
3,9.00578800242092,8.893576476730392,8.927239934437551,4628138.0981619395,10131863.160211727,0,540121.775953632,0,0
4,9.03238309854231,8.869100811544714,8.93441372634375,6217647.008487229,8649967.578549545,0,685391.3587185406,0,0
5,9.069489882192972,8.856941652034179,8.963215767113574,7819187.416427815,7142908.121776792,0,861956.0072729032,0,0
6,9.08583046928881,8.846810788239841,8.990222596869222,9405514.234332211,5655632.967429719,0,994839.4399395806,0,0
7,9.0954867039873,8.839736046055569,9.01876150660778,10952662.181020284,4201102.362643737,0,1141155.2019769526,0,0
8,9.093463966750214,8.812592645725665,9.037289702545303,12467225.179496596,2780069.0935760294,0,1277902.7367278617,0,0
9,9.074928891981012,8.759657107411979,9.043401713524107,13968578.508025996,1378218.5458765815,0,1407629.4975137834,0,0
10,9.032164642049485,8.678117002559633,9.028624165654586,15254984.815954521,136244.8379276471,0,1525607.51946347,0,0
