n	x	y	
193	-73.9976239	40.751459	;
194	-73.9976177	40.753945	;
195	-73.9974422	40.7167192	;
196	-73.9974137	40.714086	;
197	-73.997399	40.721449	;
198	-73.9973838	40.7621219	;
199	-73.9972984	40.7134688	;
200	-73.9972688	40.7544037	;
201	-73.9972216	40.7603611	;
202	-73.9971547	40.7661012	;
203	-73.9969249	40.7627499	;
204	-73.9969079	40.7667938	;
205	-73.9968987	40.7165327	;
206	-73.9968491	40.7090266	;
207	-73.99684	40.737361	;
208	-73.9967972	40.7253748	;
209	-73.996758	40.757565	;
210	-73.9967162	40.725502	;
211	-73.9966849	40.7667144	;
212	-73.9966605	40.7552114	;
213	-73.9964706	40.715497	;
214	-73.9964573	40.7633783	;
215	-73.9963996	40.755102	;
216	-73.9963293	40.753403	;
217	-73.9961157	40.7253523	;
218	-73.9960783	40.7162467	;
219	-73.9960773	40.7442808	;
220	-73.9959432	40.758981	;
221	-73.9958255	40.7166489	;
222	-73.995645	40.744099	;
223	-73.9955967	40.7569287	;
224	-73.9955752	40.7440696	;
225	-73.9955449	40.7646309	;
226	-73.9954865	40.7172159	;
227	-73.9954726	40.7596264	;
228	-73.9954538	40.7160164	;
229	-73.9954016	40.744433	;
230	-73.995396	40.7546795	;
231	-73.99538	40.7250317	;
232	-73.9953727	40.7559056	;
233	-73.9953716	40.764865	;
234	-73.995285	40.7251507	;
235	-73.9952791	40.7567635	;
236	-73.9952566	40.7650203	;
237	-73.9952486	40.7439318	;
238	-73.9952315	40.7155147	;
239	-73.9951328	40.7566317	;
240	-73.995101	40.7550366	;
241	-73.9950957	40.7652375	;
242	-73.9950561	40.7693592	;
243	-73.9949618	40.7562826	;
244	-73.9949283	40.7158469	;
245	-73.9949213	40.7552844	;
246	-73.9948335	40.7692786	;
247	-73.9948124	40.7184578	;
248	-73.9947945	40.7693529	;
249	-73.9947223	40.7164964	;
250	-73.9946486	40.7658627	;
251	-73.9946026	40.7143922	;
252	-73.9944344	40.766152	;
253	-73.9943941	40.7583702	;
254	-73.9943273	40.7662966	;
255	-73.9942713	40.7156085	;
256	-73.9942506	40.7719396	;
257	-73.994173	40.766505	;
258	-73.9941321	40.7200948	;
259	-73.9941173	40.7203456	;
260	-73.9940688	40.7615516	;
261	-73.994002	40.720262	;
262	-73.9939521	40.7203419	;
263	-73.9939359	40.7589791	;
264	-73.9939104	40.7713355	;
265	-73.993828	40.718145	;
266	-73.993813	40.746618	;
267	-73.9938026	40.7154721	;
268	-73.9937222	40.7671047	;
269	-73.9936184	40.7359997	;
270	-73.9936069	40.762185	;
271	-73.9934817	40.7674381	;
272	-73.9934596	40.7521959	;
273	-73.9934	40.715355	;
274	-73.9933142	40.7179887	;
275	-73.9932635	40.7677405	;
276	-73.993095	40.717922	;
277	-73.9930688	40.7578265	;
278	-73.993	40.7681081	;
279	-73.9929057	40.7199017	;
280	-73.9928369	40.7200517	;
281	-73.9928197	40.7143726	;
282	-73.992805	40.742901	;
283	-73.9927954	40.7683937	;
284	-73.9927507	40.7138471	;
