,cavsCost,noncavsCost,totCost,cavsFlow,nonCavsFlow,pedestrianFlow,rebalancingFlow,bikeFlow,subwayFlow
0,157.32774615314287,205.7370119075998,205.2529192500553,496389.52710362687,40635939.39304078,0,44093.32007357663,0,0
1,181.74407969169616,204.37493619372083,202.1118505435184,4501378.560170224,36772170.193553664,0,412814.57263787196,0,0
2,191.87886798891728,205.71600021625662,202.94857377078876,8781834.168231755,32555118.618731495,0,817003.2662357286,0,0
3,198.8101786110717,208.12644398892658,205.3315643755701,13018875.633303268,28389139.543481108,0,1215839.4044885477,0,0
4,204.82451888955217,211.29773068846288,208.70844596889867,17215931.83664396,24277216.89110857,0,1602405.9757015174,0,0
5,210.10151878043766,214.65309245335362,212.37730561689565,21389780.589456152,20174687.13447757,0,2014937.208121578,0,0
6,215.82504122878402,218.7218329213616,216.98375790581503,25514408.05045237,16115730.303845428,0,2394786.6097003617,0,0
7,221.6169406977079,222.86752513823768,221.9921160298668,29659277.37087558,12065640.325468238,0,2758269.8204243286,0,0
8,227.83021904717674,226.44011030002974,227.55219729774734,33786229.25466557,8035210.894035302,0,3120393.1414955063,0,0
9,234.8760894653489,226.71412195660068,234.0598927144741,37867006.93082292,4014427.8191941227,0,3486015.049890889,0,0
10,242.59537745323206,217.44533017431493,242.3438769804429,41532158.48686196,407872.6426475729,0,3814649.4088107324,0,0
