,Net,A,V,W,type,obj,t,RG,n,g
0,EMA,24,8,56,system-centric,16304.779640295998,0.28624716800000005,0.0008503214774309255,,
1,EMA,24,8,56,user-centric,16359.223541095456,0.047236520000000226,0.0004141184714621274,,
2,EMA,24,8,56,CARS2-LP,16429.022795928562,0.0009598731994628906,,2.0,1.0
3,EMA,24,8,56,CARS2-QP,16390.866885315456,0.001699209213256836,,2.0,1.0
4,EMA,24,8,56,CARS3-LP,16429.022795928562,0.0008838176727294922,,3.0,1.0
5,EMA,24,8,56,CARS3-QP,16317.062933531548,0.001811981201171875,,3.0,1.0
6,EMA,24,8,56,CARS4-LP,16429.022795928562,0.0009219646453857422,,4.0,1.0
7,EMA,24,8,56,CARS4-QP,16294.236462817702,0.0021347999572753906,,4.0,1.0
8,EMA,24,8,56,CARS5-LP,16354.809134452345,0.0009129047393798828,,5.0,1.0
9,EMA,24,8,56,CARS5-QP,16328.823792187632,0.0022509098052978516,,5.0,1.0
10,EMA,24,8,56,CARS6-LP,16327.99049722905,0.0009591579437255859,,6.0,1.0
11,EMA,24,8,56,CARS6-QP,16301.927692934594,0.0025708675384521484,,6.0,1.0
12,EMA,24,8,56,CARS7-LP,16316.573697055162,0.0010499954223632812,,7.0,1.0
13,EMA,24,8,56,CARS7-QP,16290.515088974264,0.0028150081634521484,,7.0,1.0
14,EMA,24,8,56,CARS8-LP,16316.573697055162,0.0011649131774902344,,8.0,1.0
15,EMA,24,8,56,CARS8-QP,16290.515088991482,0.00292205810546875,,8.0,1.0
16,EMA,24,8,56,CARS9-LP,16330.199911863956,0.0013928413391113281,,9.0,1.0
17,EMA,24,8,56,CARS9-QP,16297.998038739132,0.0034720897674560547,,9.0,1.0
18,EMA,24,8,56,CARS10-LP,16330.199911863956,0.0014197826385498047,,10.0,1.0
19,EMA,24,8,56,CARS10-QP,16297.99803812081,0.004080772399902344,,10.0,1.0
