,Net,A,V,W,type,obj,t,RG,n,g
0,NYC,3137,1351,8658,system-centric,48197.260152319446,127.42105607799999,0.0009697926889523902,,
1,NYC,3137,1351,8658,user-centric,48884.10022667296,83.69615075600001,0.0009710203598611957,,
2,NYC,3137,1351,8658,CARS2-LP,60124.91931758963,14.260324954986572,,2.0,1.0
3,NYC,3137,1351,8658,CARS2-QP,49217.90667500306,40.22171688079834,,2.0,1.0
4,NYC,3137,1351,8658,CARS3-LP,56599.030934710034,13.475919961929321,,3.0,1.0
5,NYC,3137,1351,8658,CARS3-QP,48746.9998385753,47.02540707588196,,3.0,1.0
6,NYC,3137,1351,8658,CARS4-LP,51808.04141887553,16.373961925506592,,4.0,1.0
7,NYC,3137,1351,8658,CARS4-QP,48402.08801065612,98.00482702255249,,4.0,1.0
8,NYC,3137,1351,8658,CARS5-LP,48485.89095871012,88.47290110588074,,5.0,1.0
9,NYC,3137,1351,8658,CARS5-QP,48240.05267424904,81.69244599342346,,5.0,1.0
10,NYC,3137,1351,8658,CARS6-LP,48424.08296960039,127.22925901412964,,6.0,1.0
11,NYC,3137,1351,8658,CARS6-QP,48243.269542953974,114.92512607574463,,6.0,1.0
12,NYC,3137,1351,8658,CARS7-LP,48382.78891582577,126.25961399078369,,7.0,1.0
13,NYC,3137,1351,8658,CARS7-QP,48215.26849173571,77.24842882156372,,7.0,1.0
14,NYC,3137,1351,8658,CARS8-LP,48382.78891582577,126.62221908569336,,8.0,1.0
15,NYC,3137,1351,8658,CARS8-QP,48215.268458071834,66.63249516487122,,8.0,1.0
